Rodzaj pojazdu,Nr tab.,Brygada,Linia,Kierunek,Opóźnienie,Przystanek
Tramwaj,HY721,10-05,10,Kurdwanów P+R,23,Kurdwanów P+R 03
Tramwaj,HG919,52-04,52,Czerwone Maki P+R,19,Czerwone Maki P+R 01
Tramwaj,RY882,22-07,22,Borek Fałęcki,18,Borek Fałęcki 01
Tramwaj,RY879,20-05,20,Mały Płaszów P+R,15,Mały Płaszów P+R 01
Tramwaj,HY722,18-07,18,Górka Narodowa P+R,15,Górka Narodowa P+R 01
Tramwaj,RP641,76-03,76,Mały Płaszów P+R,13,Mały Płaszów P+R 01
Tramwaj,HY742,50-03,50,Górka Narodowa P+R,11,Górka Narodowa P+R 01
Tramwaj,RY885,8-06,8,Borek Fałęcki,11,Borek Fałęcki 01
Tramwaj,HL424,78-01,78,Krowodrza G. P+R,10,Krowodrza Górka P+R 03
Tramwaj,RY884,8-03,8,Bronowice Małe,9,Bronowice Małe 01
Tramwaj,RP610,11-02,11,Czerwone Maki P+R,7,Czerwone Maki P+R 01
Tramwaj,RG901,52-05,52,Czerwone Maki P+R,6,Grota-Roweckiego 01
Tramwaj,RP636,76-04,76,Mały Płaszów P+R,6,Podgórze SKA 01
Tramwaj,HY874,22-02,22,Borek Fałęcki,6,Fabryczna 02
Tramwaj,RY839,24-05,24,Bronowice Małe,5,Bronowice Małe 01
Tramwaj,RY815,8-04,8,Bronowice Małe,5,Stary Kleparz 01
Tramwaj,RY838,9-06,9,Rondo Hipokratesa,5,Bieńczycka 02
Tramwaj,RY806,10-06,10,Kurdwanów P+R,4,Turowicza 01
Tramwaj,HG933,4-03,4,Bronowice Małe,4,Głowackiego 01
Tramwaj,RP645,11-05,11,Mały Płaszów P+R,4,Mały Płaszów P+R 01
Tramwaj,HY854,10-03,10,Pleszów,4,Stella-Sawickiego 01
Tramwaj,RF302,1-04,1,Salwator,4,Ogród Doświadczeń 02
Tramwaj,RY816,24-06,24,Bronowice Małe,4,Teatr Słowackiego 03
Tramwaj,HY726,50-13,50,Kurdwanów P+R,3,Politechnika 04
Tramwaj,RY877,18-04,18,Czerwone Maki P+R,3,Lipińskiego 01
