hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,12.4,1.2,rain,75,3.2,10,tramwaj,HY721,10-05,Kurdwanów–Pleszów,Kurdwanów P+R,Kurdwanów P+R 03,25,23.0,major_delay,0.92,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,HG919,52-04,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Czerwone Maki P+R 01,30,19.0,major_delay,0.6333333333333333,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,22,tramwaj,RY882,22-07,Borek Fałęcki–Kopiec Wandy,Borek Fałęcki,Borek Fałęcki 01,40,18.0,major_delay,0.45,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,20,tramwaj,RY879,20-05,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Mały Płaszów P+R 01,20,15.0,major_delay,0.75,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,18,tramwaj,HY722,18-07,Górka Narodowa–Czerwone Maki,Górka Narodowa P+R,Górka Narodowa P+R 01,35,15.0,major_delay,0.42857142857142855,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,76,tramwaj,RP641,76-03,Mały Płaszów–Cmentarz Rakowicki,Mały Płaszów P+R,Mały Płaszów P+R 01,20,13.0,major_delay,0.65,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,HY742,50-03,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Górka Narodowa P+R 01,45,11.0,major_delay,0.24444444444444444,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,8,tramwaj,RY885,8-06,Bronowice–Borek Fałęcki,Borek Fałęcki,Borek Fałęcki 01,35,11.0,major_delay,0.3142857142857143,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,78,tramwaj,HL424,78-01,Salwator–Krowodrza Górka,Krowodrza G. P+R,Krowodrza Górka P+R 03,30,10.0,significant_delay,0.3333333333333333,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,8,tramwaj,RY884,8-03,Bronowice–Borek Fałęcki,Bronowice Małe,Bronowice Małe 01,35,9.0,significant_delay,0.2571428571428571,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,11,tramwaj,RP610,11-02,Czerwone Maki–Mały Płaszów,Czerwone Maki P+R,Czerwone Maki P+R 01,30,7.0,significant_delay,0.23333333333333334,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,RG901,52-05,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Grota-Roweckiego 01,30,6.0,significant_delay,0.2,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,76,tramwaj,RP636,76-04,Mały Płaszów–Cmentarz Rakowicki,Mały Płaszów P+R,Podgórze SKA 01,20,6.0,significant_delay,0.3,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,22,tramwaj,HY874,22-02,Borek Fałęcki–Kopiec Wandy,Borek Fałęcki,Fabryczna 02,40,6.0,significant_delay,0.15,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,24,tramwaj,RY839,24-05,Bronowice–Kurdwanów,Bronowice Małe,Bronowice Małe 01,35,5.0,moderate_delay,0.14285714285714285,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,8,tramwaj,RY815,8-04,Bronowice–Borek Fałęcki,Bronowice Małe,Stary Kleparz 01,35,5.0,moderate_delay,0.14285714285714285,True
